Source:,D:\work\Solar-board\Solar charger\Solar Charger.kicad_sch,,,,,,,,,,
,,,,,,,,,,,
Date:,2022/9/6 銝? 01:50:15,,,,,,,,,,
,,,,,,,,,,,
Tool:,Eeschema (6.0.2),,,,,,,,,,
,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,,,,,
,,,,,,,,,,,
Component Count:,53,,,,,,,,,,
,,,,,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,,,,,
,,,,,,,,,,,
"AP1, ",1,AP4435,AP4435,Package_SO:PowerIntegrations_SO-8,"P-MOSFET transistor, drain/gate/source",,,,,US$0.09 ,
,,,,,,,,,,,
"C1, C2, C8, ",3,10u,C,Capacitor_SMD:C_1206_3216Metric,Unpolarized capacitor,,,,,US$0.02 ,
,,,,,,,,,,,
"C3, ",1,10n,C,Capacitor_SMD:C_0805_2012Metric,Unpolarized capacitor,,,,,US$0.01 ,
,,,,,,,,,,,
"C4, C6, C20, ",3,0.1u,C,Capacitor_SMD:C_0805_2012Metric,Unpolarized capacitor,,,,,US$0.01 ,
,,,,,,,,,,,
"C5, ",1,0.22u,C,Capacitor_SMD:C_0805_2012Metric,Unpolarized capacitor,,,,,US$0.01 ,
,,,,,,,,,,,
"C7, C13, C14, C15, C16, C18, ",6,1u,C,Capacitor_SMD:C_0805_2012Metric,Unpolarized capacitor,,,,,US$0.01 ,
,,,,,,,,,,,
"C9, C10, C11, C12, ",4,40F,C_Polarized_US,1Resouce:Super Capacitor,"Polarized capacitor, US symbol",,,,,US$0.81 ,
,,,,,,,,,,,
"C17, ",1,22u,C,Capacitor_SMD:C_0805_2012Metric,Unpolarized capacitor,,,,,US$0.02 ,
,,,,,,,,,,,
"C19, ",1,1n,C,Capacitor_SMD:C_0805_2012Metric,Unpolarized capacitor,,,,,US$0.01 ,
,,,,,,,,,,,
"C21, ",1,220u,C_Polarized,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,Polarized capacitor,,,,,US$0.02 ,
,,,,,,,,,,,
"C22, ",1,10u,C,Capacitor_SMD:C_0805_2012Metric,Unpolarized capacitor,,,,,US$0.02 ,
,,,,,,,,,,,
"D1, ",1,LED_Red,LED,LED_SMD:LED_0805_2012Metric,Light emitting diode,,,,,US$0.01 ,
,,,,,,,,,,,
"D2, D3, ",2,B340A,D_Schottky,Diode_SMD:D_SMA,Schottky diode,,,,,US$0.03 ,
,,,,,,,,,,,
"J1, ",1,Screw_Terminal_01x03,Screw_Terminal_01x03,TerminalBlock:TerminalBlock_bornier-3_P5.08mm,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,,,
"J2, J3, ",2,Screw_Terminal_01x02,Screw_Terminal_01x02,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,,,
"L1, ",1,33u,L,Inductor_SMD:L_10.4x10.4_H4.8,Inductor,,,,,US$0.16 ,
,,,,,,,,,,,
"L2, ",1,L,L,Inductor_SMD:L_10.4x10.4_H4.8,Inductor,,,,,US$0.16 ,
,,,,,,,,,,,
"P1, ",1,USB_C_Plug_USB2.0,USB_C_Plug_USB2.0,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB 2.0-only Type-C Plug connector,,,,,US$0.49 ,防水
,,,,,,,,,,,
"R1, R7, ",2,100K,R_US,Resistor_SMD:R_0805_2012Metric,"Resistor, US symbol",,,,,US$0.01 ,
,,,,,,,,,,,
"R2, ",1,15K,R_US,Resistor_SMD:R_0805_2012Metric,"Resistor, US symbol",,,,,US$0.01 ,
,,,,,,,,,,,
"R3, ",1,60m,R_US,Resistor_SMD:R_2512_6332Metric,"Resistor, US symbol",,,,,US$0.06 ,
,,,,,,,,,,,
"R4, R5, ",2,1K,R_US,Resistor_SMD:R_0805_2012Metric,"Resistor, US symbol",,,,,US$0.01 ,
,,,,,,,,,,,
"R6, ",1,120,R_US,Resistor_SMD:R_0805_2012Metric,"Resistor, US symbol",,,,,US$0.01 ,
,,,,,,,,,,,
"R8, ",1,13K,R_US,Resistor_SMD:R_0805_2012Metric,"Resistor, US symbol",,,,,,
,,,,,,,,,,,
"R9, R10, R11, R12, ",4,100,R_US,Resistor_SMD:R_0805_2012Metric,"Resistor, US symbol",,,,,,
,,,,,,,,,,,
"R13, ",1,2,R_US,Resistor_SMD:R_0805_2012Metric,"Resistor, US symbol",,,,,,
,,,,,,,,,,,
"R14, ",1,3.3k,R_US,Resistor_SMD:R_0805_2012Metric,"Resistor, US symbol",,,,,,
,,,,,,,,,,,
"S1, ",1,Solar_Cell,Solar_Cell,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,,,,,,,
,,,,,,,,,,,
"U1, ",1,CN3795,CN3795,Package_SO:SSOP-10_3.9x4.9mm_P1.00mm,,,,,,,
,,,,,,,,,,,
"U2, U3, U4, U5, ",4,BW6101_,BW6101_,Package_TO_SOT_SMD:SOT-23-5,,,,,,,
,,,,,,,,,,,
"U6, ",1,IP6510,IP6510,1Resouce:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,,,,,,,
